game_name,meta_score,user_score,platform,description,url,developer,genre,type,rating
The Legend of Zelda: Ocarina of Time,99.0,91.0,['nintendo-64'],"As a young boy, Link is tricked by Ganondorf, the King of the Gerudo Thieves. The evil human uses Link to gain access to the Sacred Realm, where he places his tainted hands on Triforce and transforms the beautiful Hyrulean landscape into a barren wasteland. Link is determined to fix the problems he helped to create, so with the help of Rauru he travels through time gathering the powers of the Seven Sages.",https://www.metacritic.com/game/nintendo-64/the-legend-of-zelda-ocarina-of-time,Nintendo,"['Action Adventure', 'Fantasy']",singleplayer,E
Super Mario Galaxy,97.0,91.0,['wii'],"[Metacritic's 2007 Wii Game of the Year] The ultimate Nintendo hero is taking the ultimate step ... out into space. Join Mario as he ushers in a new era of video games, defying gravity across all the planets in the galaxy. When some creature escapes into space with Princess Peach, Mario gives chase, exploring bizarre planets all across the galaxy. Mario, Peach and enemies new and old are here. Players run, jump and battle enemies as they explore all the planets in the galaxy. Since this game makes full use of all the features of the Wii Remote, players have to do all kinds of things to succeed: pressing buttons, swinging the Wii Remote and the Nunchuk, and even pointing at and dragging things with the pointer. Since he's in space, Mario can perform mind-bending jumps unlike anything he's done before. He'll also have a wealth of new moves that are all based around tilting, pointing and shaking the Wii Remote. Shake, tilt and point! Mario takes advantage of all the unique aspects of the Wii Remote and Nunchuk controller, unleashing new moves as players shake the controller and even point at and drag items with the pointer. [Nintendo]",https://www.metacritic.com/game/wii/super-mario-galaxy,Nintendo,"['Action', 'Platformer', '3D']",singleplayer,E
Super Mario Galaxy 2,97.0,91.0,['wii'],"Super Mario Galaxy 2, the sequel to the galaxy-hopping original game, includes the gravity-defying, physics-based exploration from the first game, but is loaded with entirely new galaxies and features to challenge players. On some stages, Mario can pair up with his dinosaur buddy Yoshi and use his tongue to grab items and spit them back at enemies. Players can also have fun with new items such as a drill that lets our hero tunnel through solid rock. [Nintendo]",https://www.metacritic.com/game/wii/super-mario-galaxy-2,Nintendo EAD Tokyo ,"['Action', 'Platformer', '3D']",singleplayer,E
Metroid Prime,97.0,89.0,['gamecube'],"Samus returns in a new mission to unravel the mystery behind the ruined walls scattered across Tallon IV. In Metroid Prime, you'll play the role of this bounty hunter and view the world through her visor, which displays information ranging from current energy levels to ammunition. Equipped with a Power Beam and Gravity Suit, you must shoot locked switches, solve puzzles, and eliminate enemies. It's up to you to explore the world and recover more power-ups and weapons, which gradually open more gameplay areas.",https://www.metacritic.com/game/gamecube/metroid-prime,Retro Studios,"['Action', 'Shooter', 'First-Person', 'Sci-Fi']",singleplayer,T
Super Mario Odyssey,97.0,89.0,['switch'],"New Evolution of Mario Sandbox-Style Gameplay. Mario embarks on a new journey through unknown worlds, running and jumping through huge 3D worlds in the first sandbox-style Mario game since Super Mario 64 and Super Mario Sunshine. Set sail between expansive worlds aboard an airship, and perform all-new actions, such as throwing Mario's cap.",https://www.metacritic.com/game/switch/super-mario-odyssey,Nintendo,"['Action', 'Platformer', '3D']",singleplayer,E10+
Halo: Combat Evolved,97.0,87.0,['xbox'],"Enter the mysterious world of Halo, an alien planet shaped like a ring.  As mankind's super soldier Master Chief, you must uncover the secrets of Halo and fend off the attacking Covenant.  During your missions, you'll battle on foot, in vehicles, inside, and outside with alien and human weaponry.  Your objectives include attacking enemy outposts, raiding underground labs for advanced technology, rescuing fallen comrades, and sniping enemy forces.  Halo also lets you battle three other players via intense split screen combat or fight cooperatively with a friend through the single-player missions.",https://www.metacritic.com/game/xbox/halo-combat-evolved,Bungie Software,"['Action', 'Shooter', 'First-Person', 'Sci-Fi']",multiplayer,M
The House in Fata Morgana - Dreams of the Revenants Edition -,97.0,83.0,['switch'],"A gothic suspense tale set in a cursed mansion. ‘The House in Fata Morgana’ is a full-length visual novel spanning nearly a millennium that deals in tragedy, human nature, and insanity. This version includes three games and more:
    1: The House in Fata Morgana: the main storyline.
    2: A Requiem for Innocence: a prequel shedding light on the origins of Fata Morgana’s terrible curse.
    3: Reincarnation: a sequel featuring the central cast members reincarnated in the present day. *The part including voices
    4: Other additional short stories.",https://www.metacritic.com/game/switch/the-house-in-fata-morgana---dreams-of-the-revenants-edition--,HuneX,"['Adventure', 'Visual Novel']",singleplayer,M
NFL 2K1,97.0,62.0,['dreamcast'],"In the end, NFL 2K1 is a deeper, more refined version of the original game.",https://www.metacritic.com/game/dreamcast/nfl-2k1,Visual Concepts,"['Sports', 'Traditional', 'Football', 'Sim']",,E
Uncharted 2: Among Thieves,96.0,88.0,['playstation-3'],"Fortune hunter Nathan Drake returns in Uncharted 2: Among Thieves, a third-person action-adventure/shooter created by award-winning developer Naughty Dog. Down on his luck, Drake is lured back into the treacherous world of thieves and mercenary treasure-seekers he had sought to leave behind. When a mysterious artifact propels Drake on an expedition to find the legendary Himalayan valley of Shambhala, he finds himself embroiled in a dangerous game of cat-and-mouse against a fugitive war criminal who’s after more than just the fabled riches of the lost city. Caught in a web of deception and plunged into an increasingly deadly pursuit that tests the limits of his endurance, Drake will be forced to risk everything - but has his luck finally run out? [SCEA]",https://www.metacritic.com/game/playstation-3/uncharted-2-among-thieves,Naughty Dog,"['Action Adventure', 'Modern', 'Linear']",singleplayer,T
Tekken 3,96.0,91.0,['playstation'],"An ancient evil force has reawakened, attacking in secret and feeding on the souls of mighty warriors. To lure it out of hiding will take the greatest fighting contest the world has ever seen...Tekken 3. Some are fighting for revenge, some for honor, Ultimately, all are fighting for their lives and the fate of all mankind.",https://www.metacritic.com/game/playstation/tekken-3,Namco,"['Action', 'Fighting', '3D']",multiplayer,T
The Legend of Zelda: The Wind Waker,96.0,90.0,['gamecube'],"In this ninth entry in the Legend of Zelda series, Link debuts on GameCube with a fun new cel-shaded look, but the game stays true to the respected heritage of the series. The classic mix of sword-swinging action, perplexing puzzles and stirring story lines remains intact, but the stunning cel-shaded graphics give the people and places of Link's watery world a wildly artistic new look. And for the very first time, Link sails freely on the high seas. Join Link on his most epic and scenic adventure yet. Face unimaginable monsters, explore puzzling dungeons, and meet a cast of unforgettable characters as he searches for his kidnapped sister, Aryll.",https://www.metacritic.com/game/gamecube/the-legend-of-zelda-the-wind-waker,Nintendo,"['Action Adventure', 'Fantasy']",singleplayer,E
Gran Turismo,96.0,86.0,['playstation'],"Welcome to the most advanced racing game ever created! Encounter exhilarating high-speed racing in 11 stunning environments. Feel handling agility and throttle response so convincing, the car seems to be an extension of yourself. Experience the extraordinary world of Gran Turismo!",https://www.metacritic.com/game/playstation/gran-turismo,Polyphony Digital,"['Driving', 'Racing', 'GT / Street']",multiplayer,E
Metal Gear Solid 2: Sons of Liberty,96.0,88.0,['playstation-2'],"Since the incident on Shadow Moses Island, Metal Gear's top-secret technology has been leaked into the black market through the machinations of Revolver Ocelot. As a result, countless variations of Metal Gears have sprung up in every corner of the globe, making the weapon an increasingly common component of the armed forces of nuclear powers. 
In the midst of all of this, Solid Snake, now a member of the anti-Metal Gear group ""Philanthropy,"" has learned that a new prototype Metal Gear has been developed by the U.S. Marines and is being transported in secret to an unknown destination. To learn more about this new machine, Snake must infiltrate the transport, disguised as a tanker, as it makes its way down the Hudson River. Just as Snake is about to begin his mission, however, the ship is seized by a mysterious and well-armed group bent on stealing the new Metal Gear for their own, nefarious purposes. [Konami]",https://www.metacritic.com/game/playstation-2/metal-gear-solid-2-sons-of-liberty,KCEJ,"['Action Adventure', 'Modern']",singleplayer,M
Grand Theft Auto Double Pack,96.0,81.0,['xbox'],"From the dark and seedy streets of Liberty City's underworld to the glamorous hedonism of Vice City of the 1980s, the Grand Theft Auto double-pack takes you through the huge worlds of Grand Theft Auto III and it's sequel Vice City. The highly controversial Grand Theft Auto III gives you the freedom to go anywhere and jack anyone, putting the dark, intriguing and ruthless world of crime at your fingertips. Vice City is an entirely new game set in the '80s, preserving and adding to the free-roaming gameplay, cinematic graphics and immersive audio experience that made the Grand Theft Auto III so popular.",https://www.metacritic.com/game/xbox/grand-theft-auto-double-pack,Rockstar North,"['Miscellaneous', 'Compilation']",singleplayer,M
Baldur's Gate II: Shadows of Amn,95.0,91.0,['pc'],"An epic continuation of the story that began in ""Baldur's Gate,"" this RPG is set along the southern portion of the Sword Coast, a detailed and rich area of the Forgotten Realms called Amn. It features 300 spells and 130-plus monster types compared to only 130 spells and 60 monster types in Baldur's Gate. [Interplay]",https://www.metacritic.com/game/pc/baldurs-gate-ii-shadows-of-amn,BioWare,"['Role-Playing', 'PC-style RPG', 'Western-Style']",multiplayer,T
Tetris Effect: Connected,95.0,88.0,['switch'],"Tetris Effect: Connected is the original Tetris Effect with all-new co-op and competitive online and local multiplayer modes. This is Tetris like you've never seen it, or heard it, or felt it beforean incredibly addictive, unique and breathtakingly gorgeous reinvention of one of the most popular puzzle games of all time.",https://www.metacritic.com/game/switch/tetris-effect-connected,Monstars Inc.,"['Puzzle', 'Stacking']",,
The Legend of Zelda Collector's Edition,95.0,89.0,['gamecube'],"Receive Four Complete Classic Zelda games all on one disc when you buy the Zelda GameCube Bundle: The Legend of Zelda, Zelda II - The adventure of Link, The Legend of Zelda: Ocarina of Time, The Legend of Zelda: Majora's Mask. The disc also includes: Playable Demo of the Legend of Zelda: The Wind Waker, Zelda Retrospective Movie, The Legend of Zelda: The Wind Waker Movie Preview.",https://www.metacritic.com/game/gamecube/the-legend-of-zelda-collectors-edition,Nintendo,"['Action Adventure', 'Fantasy']",singleplayer,E
Gran Turismo 3: A-Spec,95.0,84.0,['playstation-2'],"With the addition of two new courses (a downtown Tokyo circuit and the Monte Carlo Grand Prix course), an impressive range of cars (from Vipers to Cooper Minis), and a soundtrack featuring everything from Lenny Kravitz to Jimi Hendrix, this highly anticipated title is finally ready to be driven.",https://www.metacritic.com/game/playstation-2/gran-turismo-3-a-spec,Polyphony Digital,"['Driving', 'Racing', 'GT / Street']",multiplayer,E
The Legend of Zelda: A Link to the Past,95.0,90.0,['game-boy-advance'],"Now you have a link to one of the greatest adventures in The Legend of Zelda series.  The Legend of Zelda: A Link to the Past revives the classic SNES game on the Game Boy Advance and adds a new multiplayer mode.  In a Link to the Past, Link travels between the light world and the dark world, conquering fierce monsters and uncovering Hyrule's deepest secrets along the way.  Also included is Four Swords, which lets you play with up to three other players, slashing through dungeons and collecting rupees.  Whether you choose solo or competitive play, The Legend of Zelda will keep you occupied with its brain-bending puzzles and fun swashbuckling action.",https://www.metacritic.com/game/game-boy-advance/the-legend-of-zelda-a-link-to-the-past,Capcom,"['Action Adventure', 'Fantasy']",,E
The Legend of Zelda: Majora's Mask,95.0,91.0,['nintendo-64'],"Thrown into a parallel world by the mischievous actions of a possessed Skull Kid, Link finds a land in grave danger. The dark power of a relic called Majora's Mask has wreaked havoc on the citizens of Termina, but their most urgent problem is a suicidal moon crashing toward the world. Link has only 72 hours to find a way to stop its descent.",https://www.metacritic.com/game/nintendo-64/the-legend-of-zelda-majoras-mask,Nintendo,"['Action Adventure', 'Fantasy']",singleplayer,E
The Last of Us,95.0,92.0,['playstation-3'],"Twenty years after a pandemic radically transformed known civilization, infected humans run amuck and survivors kill one another for sustenance and weapons - literally whatever they can get their hands on. Joel, a salty survivor, is hired to smuggle a fourteen-year-old girl, Ellie, out of a rough military quarantine, but what begins as a simple job quickly turns into a brutal journey across the country.",https://www.metacritic.com/game/playstation-3/the-last-of-us,Naughty Dog,"['Modern', 'Adventure', 'General', 'Action Adventure']",multiplayer,M
